text,url
StupidSimple Dataclasses Codec,https://github.com/stupid-simple/dataclasses-codec
calc-workbook,https://github.com/a-bentofreire/calc-workbook
Elusion,https://github.com/DataBora/elusion
Eruo Data Studio,https://github.com/naruaika/eruo-data-studio
lilpipe,https://github.com/andrewruba/lilpipe
Parmancer,https://github.com/parmancer/parmancer
PipeFunc,https://github.com/pipefunc/pipefunc
Pipevine,https://github.com/arrno/pipevine
PydSQL,https://github.com/pranavkp71/PydSQL
trendspyg,https://github.com/flack0x/trendspyg
smartcols,https://github.com/Dinis-Esteves/pandas-smartcols
Coffy,https://github.com/nsarathy/Coffy
MotionSaver,https://github.com/chinmay-sawant/MotionSaver
WinUp,https://github.com/mebaadwaheed/winup
Zypher,https://github.com/Yamil-Serrano/Zypher
Erys,https://github.com/natibek/erys
ell,https://github.com/MadcowD/ell
flowmark,https://github.com/jlevy/flowmark
mcputil,https://github.com/RussellLuo/mcputil
OpenAI Harmony,https://github.com/openai/harmony
ProML (Prompt Markup Language),https://github.com/Caripson/ProML
Prompt Components,https://github.com/jamesaud/prompt-components
Prompture,https://github.com/jhd3197/Prompture
SimplePrompts,https://github.com/Infrared1029/simpleprompts
Universal Tool Calling Protocol (UTCP),https://github.com/universal-tool-calling-protocol/python-utcp
Fast-LLM,https://github.com/ServiceNow/Fast-LLM
TorchSystem,https://github.com/entropy-flux/TorchSystem
Tsururu (TSForesight),https://github.com/sb-ai-lab/tsururu
DL Type,https://github.com/stackav-oss/dltype
Python Testing Tools MCP Server,https://github.com/jazzberry-ai/python-testing-mcp
treemind,https://github.com/sametcopur/treemind
Verdict,https://github.com/haizelabs/verdict
MCP Kit Python,https://github.com/agentiqs/mcp-kit-python
npcpy,https://github.com/NPC-Worldwide/npcpy
doespythonhaveit,https://github.com/hasboi/doespythonhaveit-api
tenets,https://github.com/jddunn/tenets
Cap'n Web Python,https://github.com/abilian/py-capnweb
httpmorph,https://github.com/arman-bd/httpmorph
Miniappi,https://github.com/Miksus/miniappi-python
PyWebTransport,https://github.com/lemonsterfy/pywebtransport
robinzhon,https://github.com/rohaquinlop/robinzhon
WebPath,https://github.com/duriantaco/webpath
thoad,https://github.com/mntsx/thoad
Clockwork,https://github.com/kessler-frost/clockwork
Cybersecurity Psychology Framework (CPF),https://github.com/xbeat/CPF
darkcore,https://github.com/minamorl/darkcore
DiscoveryLastFM,https://github.com/MrRobotoGit/DiscoveryLastFM
Fusebox,https://github.com/ftbits/fusebox
Injectipy,https://github.com/Wimonder/injectipy
Klyne,https://github.com/psincraian/klyne
MIDI Scripter,https://github.com/Maboroshy/midi-scripter
numeth,https://github.com/AbhisumatK/numeth-Numerical-Methods-Library
PAR CLI TTS,https://github.com/paulrobello/par-cli-tts
pycaps,https://github.com/francozanardi/pycaps
PyDepends,https://github.com/entropy-flux/PyDepends
Pylan,https://github.com/TimoKats/pylan
Python for Nonprofits,https://github.com/kburchfiel/pfn
Quantium,https://github.com/parneetsingh022/quantium
Reduino,https://github.com/Jackhammer9/Reduino
TiBi,https://github.com/rodinalex/TiBi
Torch Lens Maker,https://github.com/victorpoughon/torchlensmaker
torch-molecule,https://github.com/liugangcode/torch-molecule
TurtleSC,https://github.com/asweigart/turtlesc
bbox-align,https://github.com/doctor-entropy/bbox-align
Morphik,https://github.com/morphik-org/morphik-core
OCR-StringDist,https://github.com/NiklasvonM/ocr-stringdist
ConfOpt,https://github.com/rick12000/confopt
Functioneer,https://github.com/qthedoc/functioneer
generalized-dual,https://github.com/LukaLavs/Generalized-Dual
Solvex,https://github.com/pranavkp71/solvex
python-cq,https://github.com/100nm/python-cq
cogeol,https://github.com/open-nudge/cogeol
comver,https://github.com/open-nudge/comver
dirstree,https://github.com/pomponchik/dirstree
loadfig,https://github.com/open-nudge/loadfig
pipask,https://github.com/feynmanix/pipask
pywinselect,https://github.com/offerrall/pywinselect
TripWire,https://github.com/Daily-Nerd/TripWire
veld,https://github.com/BranBushes/veld-fm
venv-rs,https://github.com/Ardnys/venv-rs
venv-stack,https://github.com/ignis-sec/venv-stack
dowhen,https://github.com/gaogaotiantian/dowhen
GrapeQL,https://github.com/AleksaZatezalo/GrapeQL
lintkit,https://github.com/open-nudge/lintkit
notata,https://github.com/alonfnt/notata
pretty-dir,https://github.com/douglassimonsen/ppdir
Request Speed Test,https://github.com/lafftar/requestSpeedTest
structlog-journald,https://github.com/hongquan/structlog-journald
Trevis,https://github.com/cabralpinto/trevis
Temporals,https://github.com/dimitarOnGithub/temporals
detroit,https://github.com/bourbonut/detroit
RowDump,https://github.com/markjen/rowdump
proxyutils,https://github.com/meliksahbozkurt/proxyutils
PyBA,https://github.com/FauvidoTechnologies/PyBrowserAutomation
AirFlask,https://github.com/naitikmundra/AirFlask
APIException,https://github.com/akutayural/APIException
ecma426,https://github.com/bugsink/ecma426
Fast Channels,https://github.com/huynguyengl99/fast-channels
fastapi-async-storages,https://github.com/stabldev/fastapi-async-storages
Func To Web,https://github.com/offerrall/FuncToWeb
html2pic,https://github.com/francozanardi/html2pic
Lazy Ninja,https://github.com/AghastyGD/lazy-ninja
panel-material-ui,https://github.com/panel-extensions/panel-material-ui
pyeasydeploy,https://github.com/offerrall/pyeasydeploy
Python Hiccup,https://github.com/DavidVujic/python-hiccup
WEP — Web Embedded Python,https://github.com/prodev717/web-embedded-python
Let's talk,https://tryolabs.com/contact
hello@tryolabs.com,https://tryolabs.com/blog/top-python-libraries-2025/mailto:hello@tryolabs.com
Custom AI,https://tryolabs.com/services/custom-ai
AI Adoption & Strategy,https://tryolabs.com/services/ai-adoption
MLOps & LLMOps,https://tryolabs.com/services/mlops
Data Engineering,https://tryolabs.com/services/data-engineering
Video Analytics,https://tryolabs.com/services/video-analytics
AI 4 Good,https://tryolabs.com/ai-for-good
Blog,https://tryolabs.com/blog
Industry cases,https://tryolabs.com/customers
About us,https://tryolabs.com/about
Partnerships,https://tryolabs.com/partnerships
Careers,https://tryolabs.com/careers
Terms and Conditions,https://tryolabs.com/terms
Get the playbookFrom AI hype tobusiness outcomes,https://app-na1.hubspotdocuments.com/documents/19722003/view/1050562940?accessId=ef2191
