name,url,description,category
textcase,https://github.com/zobweyt/textcase,"– Text case conversion utility that transforms strings between various naming conventions and formatting styles such as snake_case, kebab-case, camelCase, PascalCase, and others. The utility accurately handles complex word boundaries including acronyms and supports non-ASCII characters without making language-specific inferences. It features an extensible architecture that allows custom word boundaries and cases to be defined, operates without external dependencies using regex-free algorithms for efficient performance, and provides full type annotations with comprehensive test coverage for reliable text processing workflows. GitHub stars",Runners-up - General use
Agent Development Kit (ADK),https://github.com/google/adk-python,"– Code-first framework that applies software development principles to AI agent creation, designed to simplify building, deploying, and orchestrating agent workflows from simple tasks to complex systems. Features a rich tool ecosystem with pre-built tools, OpenAPI specs, and MCP tools integration, modular multi-agent system design for scalable applications, and flexible deployment options including Cloud Run and Vertex AI Agent Engine. The framework is model-agnostic and deployment-agnostic while being optimized for Gemini, includes a built-in development UI for testing and debugging, and supports agent evaluation workflows. It integrates with the Agent2Agent (A2A) protocol for remote agent communication and provides both single-agent and multi-agent coordinator patterns. GitHub stars",Runners-up - AI/ML/Data
Archon,https://github.com/coleam00/Archon,"– Command center for AI coding assistants that serves as an MCP server enabling AI agents to access shared knowledge, context, and tasks. Features smart web crawling for documentation sites, document processing for PDFs and markdown files, vector search with semantic embeddings, and hierarchical project management with AI-assisted task creation. Built with microservices architecture including React frontend, FastAPI backend, MCP server interface, and PydanticAI agents service, all connected through real-time WebSocket updates and collaborative workflows. Integrates with popular AI coding assistants like Claude Code, Cursor, and Windsurf to enhance their capabilities with custom knowledge bases and structured task management. GitHub stars",Runners-up - AI/ML/Data
Attachments,https://github.com/MaximeRivest/attachments,"– File processing pipeline designed to extract text and images from diverse file formats for large language model consumption. Supports PDFs, Microsoft Office documents, images, web pages, CSV files, repositories, and archives through a unified API with DSL syntax for advanced operations. Features extensible plugin architecture with loaders, modifiers, presenters, refiners, and adapters for customizing processing pipelines. Includes built-in integrations for OpenAI, Anthropic Claude, and DSPy frameworks, plus advanced capabilities like CSS selector highlighting for web scraping and image transformations. GitHub stars",Runners-up - AI/ML/Data
Claude Agent SDK,https://github.com/anthropics/claude-agent-sdk-python,"– SDK for integrating with Claude Agent that provides both simple query operations and advanced conversational capabilities through bidirectional communication. Features async query functions for basic interactions, custom tools implemented as in-process MCP servers for defining Python functions that Claude can invoke, and hooks for automated feedback and deterministic processing during the Claude agent loop. Supports tool management with both internal and external MCP servers, working directory configuration, permission modes, and comprehensive error handling for building sophisticated Claude-powered applications. GitHub stars",Runners-up - AI/ML/Data
df2tables,https://github.com/ts-kontakt/df2tables,"– Utility designed for converting Pandas and Polars DataFrames into interactive HTML tables powered by the DataTables JavaScript library. The tool focuses on web framework integration with seamless embedding capabilities for Flask, Django, FastAPI, and other web frameworks. It renders tables directly from JavaScript arrays to deliver fast performance and compact file sizes, enabling smooth browsing of large datasets while maintaining full responsiveness. The utility includes features like filtering, sorting, column control, customizable DataTables configuration through Python, and minimal dependencies requiring only pandas or polars. GitHub stars",Runners-up - AI/ML/Data
FlashMLA,https://github.com/deepseek-ai/FlashMLA,"– Optimized attention kernels library specifically designed for Multi-head Latent Attention (MLA) computations, powering DeepSeek-V3 and DeepSeek-V3.2-Exp models. The library implements both sparse and dense attention kernels for prefill and decoding stages, featuring DeepSeek Sparse Attention (DSA) with token-level optimization and FP8 KV cache support. It provides high-performance implementations for SM90 and SM100 GPU architectures, achieving up to 660 TFlops in compute-bound configurations on H800 GPUs and supporting both Multi-Query Attention and Multi-Head Attention modes. The library is optimized for inference workloads and includes specialized kernels for memory-bound and computation-bound scenarios. GitHub stars",Runners-up - AI/ML/Data
Flowfile,https://github.com/Edwardvaneechoud/Flowfile,"– Visual ETL tool and library suite that combines drag-and-drop workflow building with the speed of Polars dataframes for high-performance data processing. It operates as three interconnected services including a visual designer (Electron + Vue), ETL engine (FastAPI), and computation worker, representing each flow as a directed acyclic graph (DAG) where nodes represent data operations. The platform supports complex data transformations like fuzzy matching joins, text processing, filtering, grouping, and custom formulas, while enabling users to export visual flows as standalone Python/Polars code for production deployment. includes both a desktop application and a programmatic FlowFrame API that provides a Polars-like interface for creating data pipelines in Python code. GitHub stars",Runners-up - AI/ML/Data
Gitingest,https://github.com/coderamp-labs/gitingest,"– Git repository text converter specifically designed to transform any Git repository into a format optimized for Large Language Model prompts. The tool intelligently processes repository content to create structured text digests that include file and directory structure, size statistics, and token count information. It supports both local directories and remote GitHub repositories (including private ones with token authentication), offers both command-line interface and Python package integration, and includes smart formatting features like .gitignore respect and submodule handling. The package is particularly valuable for developers working with AI tools who need to provide repository context to LLMs in an efficient, structured format. GitHub stars",Runners-up - AI/ML/Data
gpt-oss,https://github.com/openai/gpt-oss,"– Open-weight language models released in two variants: -120b (117B parameters with 5.1B active) for production use on single 80GB GPUs, and -20b (21B parameters with 3.6B active) for lower latency and local deployment. Both models feature configurable reasoning effort, full chain-of-thought access, native function calling capabilities, web browsing and Python code execution tools, and MXFP4 quantization for efficient memory usage. The models require the harmony response format and include Apache 2.0 licensing for commercial deployment. GitHub stars",Runners-up - AI/ML/Data
MaxText,https://github.com/AI-Hypercomputer/maxtext,"– High performance, highly scalable LLM library written in pure Python/JAX targeting Google Cloud TPUs and GPUs for training. The library includes pre-built implementations of major models like Gemma, Llama, DeepSeek, Qwen, and Mistral, supporting both pre-training (up to tens of thousands of chips) and scalable post-training techniques such as Supervised Fine-Tuning (SFT) and Group Relative Policy Optimization (GRPO). achieves high Model FLOPs Utilization (MFU) and tokens/second performance from single host to very large clusters while maintaining simplicity through the power of JAX and XLA compiler. The library serves as both a reference implementation for building models from scratch and a scalable framework for post-training existing models, positioning itself as a launching point for ambitious LLM projects in both research and production environments. GitHub stars",Runners-up - AI/ML/Data
Memvid,https://github.com/Olow304/memvid,"– AI memory storage system that converts text chunks into QR codes embedded in video frames, leveraging video compression codecs to achieve 50-100× smaller storage than traditional vector databases. The system encodes text as QR codes in MP4 files while maintaining millisecond-level semantic search capabilities through smart indexing that maps embeddings to frame numbers. Features include PDF processing, interactive web UI, parallel processing, and offline-first design with zero infrastructure requirements. Performance includes processing ~10K chunks/second during indexing, sub-100ms search times for 1M chunks, and dramatic storage reduction from 100MB text to 1-2MB video files. GitHub stars",Runners-up - AI/ML/Data
nanochat,https://github.com/karpathy/nanochat,"– Complete implementation of a large language model similar to ChatGPT in a single, minimal, hackable codebase that handles the entire pipeline from tokenization through web serving. Training system designed to run on GPU clusters with configurable model sizes ranging from $100 to $1000 training budgets, producing models with 1.9 billion parameters trained on tens of billions of tokens. Features include distributed training capabilities, evaluation metrics, reinforcement learning, synthetic data generation for customization, and a web-based chat interface. Framework serves as the capstone project for the LLM101n course and emphasizes accessibility through cognitive simplicity while maintaining performance comparable to historical models like GPT-2. GitHub stars",Runners-up - AI/ML/Data
OmniParser,https://github.com/microsoft/OmniParser,"– Screen parsing tool designed to parse user interface screenshots into structured and easy-to-understand elements, significantly enhancing the ability of vision-language models like GPT-4V to generate actions that can be accurately grounded in corresponding interface regions. The tool features interactive region detection, icon functional description capabilities, and fine-grained element detection including small icons and interactability prediction. It includes OmniTool for controlling Windows 11 VMs and supports integration with various large language models including OpenAI, DeepSeek, Qwen, and Anthropic Computer Use. has achieved state-of-the-art results on GUI grounding benchmarks and is particularly effective for building pure vision-based GUI agents. GitHub stars",Runners-up - AI/ML/Data
OpenAI Agents SDK,https://github.com/openai/openai-agents-python,"– Framework for building multi-agent workflows that supports OpenAI APIs and 100+ other LLMs through a provider-agnostic approach. Core features include agents configured with instructions, tools, and handoffs for transferring control between agents, configurable guardrails for input/output validation, automatic session management for conversation history, and built-in tracing for debugging and optimization. The framework enables complex agent patterns including deterministic flows and iterative loops, with support for long-running workflows through Temporal integration and human-in-the-loop capabilities. Session memory can be implemented using SQLite, Redis, or custom implementations to maintain conversation context across multiple agent runs. GitHub stars",Runners-up - AI/ML/Data
OpenManus,https://github.com/FoundationAgents/OpenManus,"– Open-source framework for building general AI agents that can perform computer use tasks and web automation without requiring invite codes or restricted access. The framework includes multiple agent types including general-purpose agents and specialized data analysis agents, with support for browser automation through Playwright integration. It provides multi-agent workflows and features integration with various LLM APIs including OpenAI GPT models, offering both single-agent and multi-agent execution modes. The project includes reinforcement learning capabilities through -RL for advanced agent training and optimization. GitHub stars",Runners-up - AI/ML/Data
OWL,https://github.com/camel-ai/owl,"– Multi-agent collaboration framework designed for general assistance and task automation in real-world scenarios. The framework leverages dynamic agent interactions to enable natural, efficient, and robust automation across diverse domains including web interaction, document processing, code execution, and multimedia analysis. Built on top of the CAMEL-AI Framework, it provides a comprehensive toolkit ecosystem with capabilities for browser automation, search integration, and specialized tools for various domains. has achieved top performance on the GAIA benchmark, ranking #1 among open-source frameworks with advanced features for workforce learning and optimization. GitHub stars",Runners-up - AI/ML/Data
Parlant,https://github.com/emcie-co/parlant,"– AI agent framework that addresses the core problem of LLM unpredictability by ensuring agents follow instructions rather than hoping they will. Instead of relying on complex system prompts, it uses behavioral guidelines, conversational journeys, tool integration, and domain adaptation to create predictable, consistent agent behavior. The framework includes features like dynamic guideline matching, built-in guardrails to prevent hallucinations, conversation analytics, and full explainability of agent decisions. It's particularly suited for production environments where reliability and compliance are critical, such as financial services, healthcare, e-commerce, and legal applications. GitHub stars",Runners-up - AI/ML/Data
TensorFlow Optimizers Collection,https://github.com/NoteDance/optimizers,"– Comprehensive library implementing state-of-the-art optimization algorithms for deep learning in TensorFlow. The collection includes adaptive optimizers like AdaBelief, AdamP, and RAdam; second-order methods like Sophia and Shampoo; hybrid approaches like Ranger variants combining multiple techniques; memory-efficient optimizers like AdaFactor and SM3; distributed training optimizers like LAMB and Muon; and experimental methods like EmoNavi with emotion-driven updates. Many optimizers support advanced features including gradient centralization, lookahead mechanisms, subset normalization for memory efficiency, and automatic step-size adaptation. GitHub stars",Runners-up - AI/ML/Data
trackio,https://github.com/gradio-app/trackio,"– Lightweight experiment tracking library designed as a drop-in replacement for wandb with API compatibility for wandb.init, wandb.log, and wandb.finish functions. Features a local-first design that runs dashboards locally by default while persisting logs in a local SQLite database, with optional deployment to Hugging Face Spaces for remote hosting. Includes a Gradio-based dashboard for visualizing experiments that can be embedded in websites and blog posts with customizable query parameters for filtering projects, metrics, and display options. Built with extensibility in mind using less than 5,000 lines of Python code, making it easy for developers to fork and add custom functionality while keeping everything free including Hugging Face hosting. GitHub stars",Runners-up - AI/ML/Data
agex,https://github.com/ashenfad/agex,"Category Library GitHub Stars Description AI Agents Python-native agentic framework that enables AI agents to work directly with existing libraries and codebases. -ui Framework extension that enables AI agents to create dynamic, interactive user interfaces at runtime using NiceGUI components through direct API access. Grasp Agents Modular framework for building agentic AI pipelines and applications with granular control over LLM handling and agent communication. IntentGraph AI-native codebase intelligence library that provides pre-digested, structured code analysis with natural language interfaces for autonomous coding agents. Linden Framework for building AI agents with multi-provider LLM support, persistent memory, and function calling capabilities. mcp-agent Framework for building AI agents using Model Context Protocol (MCP) servers with composable patterns and durable execution capabilities. Notte Web agent framework for building AI agents that interact with websites through natural language tasks and structured outputs. Pybotchi Deterministic, intent-based AI agent builder with nested supervisor agent architecture. AI Security RESK-LLM Security toolkit for Large Language Models providing protection against prompt injections, data leakage, and malicious use across multiple LLM providers. Rival AI AI safety framework providing guardrails for production AI systems through real-time malicious query detection and automated red teaming capabilities. AI Toolkits Pipelex Open-source language for building and running repeatable AI workflows with structured data types and validation. RocketRAG High-performance Retrieval-Augmented Generation (RAG) system focused on speed, simplicity, and extensibility. Asynchronous Tools CMQ Cloud Multi Query library and CLI tool for running queries across multiple cloud accounts in parallel. throttlekit Lightweight, asyncio-based rate limiting library providing flexible and efficient rate limiting solutions with Token Bucket and Leaky Bucket algorithms. transfunctions Code generation library that eliminates sync/async code duplication by generating multiple function types from single templates. Wove Async task execution framework for running high-latency concurrent operations with improved user experience over asyncio. Caching and Persistence TursoPy Lightweight, dependency-minimal client for Turso databases with simple CRUD operations and batch processing support. Command-Line Tools Envyte Command-line tool and API helper for auto-loading environment variables from .env files before running Python scripts or commands. FastAPI Cloud CLI Command-line interface for cloud operations with FastAPI applications. gs-batch-pdf Command-line tool for batch processing PDF files using Ghostscript with parallel execution. Mininterface Universal interface library that provides automatic GUI, TUI, web, CLI, and config file access from a single codebase using dataclasses. SSHUP Command-line SSH connection manager with interactive terminal interface for managing multiple SSH servers. Computer Vision Otary Image processing and 2D geometry manipulation library with unified API for computer vision tasks. Data Handling fastquadtree Rust-optimized quadtree data structure with spatial indexing capabilities for points and bounding boxes. molabel Annotation widget for labeling examples with speech recognition support. Python Pest PEG (Parsing Expression Grammar) parser generator ported from the Rust pest library. SeedLayer Declarative fake data seeder for SQLAlchemy ORM models that generates realistic test data using Faker. SPDL Data loading library designed for scalable and performant processing of array data. By Meta. Swizzle Decorator-based utility for multi-attribute access and manipulation of Python objects using simple attribute syntax. Data Interoperability Archivey Unified interface for reading various archive formats with automatic format detection. KickApi Client library for integrating with the Kick streaming platform API to retrieve channel, video, clip, and chat data. pyro-mysql High-performance MySQL driver for Python backed by Rust. StupidSimple Dataclasses Codec Serialization codec for converting Python dataclasses to and from various formats including JSON. Data Processing calc-workbook Excel file processor that loads spreadsheets, computes all formulas, and provides a clean API for accessing calculated cell values. Elusion DataFrame data engineering library built on DataFusion query engine with END-TO-END capabilities including connectors for Microsoft stack (Fabric OneLake, SharePoint, Azure Blob), databases, APIs, and automated pipeline scheduling. Eruo Data Studio Integrated data platform that combines Excel-like flexibility, business intelligence visualization, and ETL data preparation capabilities in a single environment. lilpipe Lightweight, typed, sequential pipeline engine for building and running workflows. Parmancer Text parsing library using parser combinators with comprehensive type annotations for structured data extraction. PipeFunc Computational workflow library for creating and executing function pipelines represented as directed acyclic graphs (DAGs). Pipevine Lightweight async pipeline library for building fast, concurrent dataflows with backpressure control, retries, and flexible worker orchestration. PydSQL Lightweight utility that generates SQL CREATE TABLE statements directly from Pydantic models. trendspyg Real-time Google Trends data extraction library with support for 188,000+ configuration options across RSS feeds and CSV exports. DataFrame Tools smartcols Utilities for reordering and grouping pandas DataFrame columns without index gymnastics. Database Extensions Coffy Local-first embedded database engine supporting NoSQL, SQL, and Graph models in pure Python. Desktop Applications MotionSaver Windows screensaver application that displays video wallpapers with customizable widgets and security features. WinUp Modern UI framework that wraps PySide6 (Qt) in a simple, declarative, and developer-friendly API for building beautiful desktop applications. Zypher Windows-based video and audio downloader with GUI interface powered by yt_dlp. Jupyter Tools Erys Terminal interface for opening, creating, editing, running, and saving Jupyter Notebooks in the terminal. LLM Interfaces ell Lightweight, functional prompt engineering framework for language model programs with automatic versioning and multimodal support. flowmark Markdown auto-formatter designed for better LLM workflows, clean git diffs, and flexible use from CLI, IDEs, or as a library. mcputil Lightweight library that converts MCP (Model Context Protocol) tools into Python function-like objects. OpenAI Harmony Response format implementation for OpenAI's open-weight gpt-oss model series. By OpenAI. ProML (Prompt Markup Language) Structured markup language for Large Language Model prompts with a complete toolchain including parser, runtime, CLI, and registry. Prompt Components Template-based component system using dataclasses for creating reusable, type-safe text components with support for standard string formatting and Jinja2 templating. Prompture API-first library for extracting structured JSON and Pydantic models from LLMs with schema validation and multi-provider support. SimplePrompts Minimal library for constructing LLM prompts with Python-native syntax and dynamic control flow. Universal Tool Calling Protocol (UTCP) Secure, scalable standard for defining and interacting with tools across communication protocols using a modular plugin-based architecture. ML Development Fast-LLM Open-source library for training large language models with optimized speed, scalability, and flexibility. By ServiceNow. TorchSystem PyTorch-based framework for building scalable AI training systems using domain-driven design principles, dependency injection, and message patterns. Tsururu (TSForesight) Time series forecasting strategies framework providing multi-series and multi-point-ahead prediction strategies compatible with any underlying model including neural networks. ML Testing & Evaluation DL Type Runtime type checking library for PyTorch tensors and NumPy arrays with shape validation and symbolic dimension support. Python Testing Tools MCP Server Model Context Protocol (MCP) server providing AI-powered Python testing capabilities including unit test generation, fuzz testing, coverage analysis, and mutation testing. treemind High-performance library for interpreting tree-based models through feature analysis and interaction detection. Verdict Declarative framework for specifying and executing compound LLM-as-a-judge systems with hierarchical reasoning capabilities. Multi-Agent Systems MCP Kit Python Toolkit for developing and optimizing multi-agent AI systems using the Model Context Protocol (MCP). npcpy Framework for building natural language processing pipelines and LLM-powered agent systems with support for multi-agent teams, fine-tuning, and evolutionary algorithms. NLP doespythonhaveit Library search engine that allows natural language queries to discover Python packages. tenets NLP CLI tool that automatically finds and builds the most relevant context from codebases using statistical algorithms and optional deep learning techniques. Networking and Communication Cap'n Web Python Complete implementation of the Cap'n Web protocol, providing capability-based RPC system with promise pipelining, structured errors, and multiple transport support. httpmorph HTTP client library focused on mimicking browser fingerprints with Chrome 142 TLS fingerprint matching capabilities. Miniappi Client library for the Miniappi app server that enables Python applications to interact with the Miniappi platform. PyWebTransport Async-native WebTransport stack providing full protocol implementation with high-level frameworks for server applications and client management. robinzhon High-performance library for concurrent S3 object transfers using Rust-optimized implementation. WebPath HTTP client library that reduces boilerplate when interacting with APIs, built on httpx and jmespath. Neural Networks thoad Lightweight reverse-mode automatic differentiation engine for computing arbitrary-order partial derivatives on PyTorch computational graphs. Niche Tools Clockwork Infrastructure as Code framework that provides composable primitives with AI-powered assistance. Cybersecurity Psychology Framework (CPF) Psychoanalytic-cognitive framework for assessing pre-cognitive security vulnerabilities in human behavior. darkcore Lightweight functional programming toolkit bringing Functor/Applicative/Monad abstractions and classic monads like Maybe, Either/Result, Reader, Writer, and State with an expressive operator DSL. DiscoveryLastFM Music discovery automation tool that integrates Last.fm, MusicBrainz, Headphones, and Lidarr to automatically discover and queue new albums based on listening history. Fusebox Lightweight dependency injection container built for simplicity and minimalism with automatic dependency resolution. Injectipy Dependency injection library that uses explicit scopes instead of global state, providing type-safe dependency resolution with circular dependency detection. Klyne Privacy-first analytics platform for tracking Python package usage, version adoption, OS distribution, and custom events. MIDI Scripter Framework for filtering, modifying, routing and handling MIDI, Open Sound Control (OSC), keyboard and mouse input and output. numeth Numerical methods library implementing core algorithms for engineering and applied mathematics with educational clarity. PAR CLI TTS Command-line text-to-speech tool supporting multiple TTS providers (ElevenLabs, OpenAI, and Kokoro ONNX) with intelligent voice caching and flexible output options. pycaps Tool for adding CSS-styled subtitles to videos with automated transcription and customizable animations. PyDepends Lightweight dependency injection library with decorator-based API supporting both synchronous and asynchronous code in a FastAPI-like style. Pylan Library for calculating and analyzing the combined impact of recurring events such as financial projections, investment gains, and savings. Python for Nonprofits Educational guide for applying Python programming in nonprofit organizations, covering data analysis, visualization, and reporting techniques. Quantium Lightweight library for unit-safe scientific and mathematical computation with dimensional analysis. Reduino Python-to-Arduino transpiler that converts Python code into Arduino C++ and optionally uploads it to microcontrollers via PlatformIO. TiBi GUI application for performing Tight Binding calculations with graphical system construction. Torch Lens Maker Differentiable geometric optics library based on PyTorch for designing complex optical systems using automatic differentiation and numerical optimization. torch-molecule Deep learning framework for molecular discovery featuring predictive, generative, and representation models with a sklearn-style interface. TurtleSC Mini-language extension for Python's turtle module that provides shortcut instructions for function calls. OCR bbox-align Library that reorders bounding boxes from OCR engines into logical lines and correct reading order for document processing. Morphik AI-native toolset for processing, searching, and managing visually rich documents and multimodal data. OCR-StringDist String distance library for learning, modeling, explaining and correcting OCR errors using weighted Levenshtein distance algorithms. Optimization Tools ConfOpt Hyperparameter optimization library using conformal uncertainty quantification and multiple surrogate models for machine learning practitioners. Functioneer Batch runner for function analysis and optimization with parameter sweeps. generalized-dual Minimal library for generalized dual numbers and automatic differentiation supporting arbitrary-order derivatives, complex numbers, and vectorized operations. Solvex REST API service for solving Linear Programming optimization problems using SciPy. Reactive Programming and State Management python-cq Lightweight library for separating code according to Command and Query Responsibility Segregation principles. System Utilities cogeol Python version management tool that automatically aligns projects with supported Python versions using endoflife.date data. comver Tool for calculating semantic versioning using commit messages without requiring Git tags. dirstree Directory traversal library with advanced filtering, cancellation token support, and multiple crawling methods loadfig One-liner Python pyproject config loader with root auto-discovery and VCS awareness. pipask Drop-in replacement for pip that performs security checks before installing Python packages. pywinselect Windows utility for detecting selected files and folders in File Explorer and Desktop. TripWire Environment variable management system with import-time validation, type inference, secret detection, and team synchronization capabilities. veld Terminal-based file manager with tileable panels and file previews built on Textual. venv-rs High-level Python virtual environment manager with terminal user interface for inspecting and managing virtual environments. venv-stack Lightweight PEP 668-compliant tool for creating layered Python virtual environments that can share dependencies across multiple base environments. Testing, Debugging & Profiling dowhen Code instrumentation library for executing arbitrary code at specific points in applications with minimal overhead. GrapeQL GraphQL security testing tool for detecting vulnerabilities in GraphQL APIs. lintkit Framework for building custom linters and code checking rules. notata Minimal library for structured filesystem logging of scientific runs. pretty-dir Enhanced debugging tool providing organized and colorized output for Python's built-in `dir` function. Request Speed Test High-throughput HTTP load testing project demonstrating over 20,000 requests per second using the Rust-based rnet library with optimized system configurations. structlog-journald Structlog processor for sending logs to journald. Trevis Console visualization tool for recursive function execution flows. Time and Date Utilities Temporals Minimalistic utility library for working with time and date periods on top of Python's datetime module. Visualization detroit Python implementation of the D3.js data visualization library. RowDump Structured table output library with ASCII box drawing, custom formatting, and flexible column definitions. Web Crawling & Scraping proxyutils Proxy parser and formatter for handling various proxy formats and integration with web automation tools. PyBA Browser automation software that uses AI to perform web testing, form filling, and exploratory web tasks without requiring exact inputs. Web Development AirFlask Production deployment tool for Flask web applications using nginx and gunicorn. APIException Standardized exception handling library for FastAPI that provides consistent JSON responses and improved Swagger documentation. ecma426 Source map implementation supporting both decoding and encoding according to the ECMA-426 specification. Fast Channels WebSocket messaging library that brings Django Channels-style consumers and channel layers to FastAPI, Starlette, and other ASGI frameworks for real-time applications. fastapi-async-storages Async-ready cloud object storage backend for FastAPI applications. Func To Web Web application generator that converts Python functions with type hints into interactive web UIs with minimal boilerplate. html2pic HTML and CSS to image converter that renders web markup to high-quality images without requiring a browser engine. Lazy Ninja Django library that simplifies the generation of API endpoints using Django Ninja through dynamic model scanning and automatic Pydantic schema creation. panel-material-ui Extension library that integrates Material UI design components and theming capabilities into Panel applications. pyeasydeploy Simple server deployment toolkit for deploying applications to remote servers with minimal setup. Python Hiccup Library for representing HTML using plain Python data structures with Hiccup syntax. WEP — Web Embedded Python Lightweight server-side template engine and micro-framework for embedding native Python directly inside HTML using .wep files and <wep> tags.",Long tail
